url,title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
https://www.netflix.com/title/70035184,Saw II,movie,"Horror, Mystery",2005.0,tt0432348,6.6,282297.0,"AL, AR, AT, AZ, BG, BO, BR, BY, BZ, CL, CO, CR, CZ, DE, EC, EE, ES, GB, GG, GI, GR, GT, HN, HR, HU, IE, LI, LT, LU, LV, MD, ME, MK, MT, MX, NI, PA, PE, PL, PT, PY, RO, RS, SI, SK, SV, UA, UY, VE"
https://www.netflix.com/title/70084799,Indiana Jones and the Kingdom of the Crystal Skull,movie,"Action, Adventure",2008.0,tt0367882,6.2,496797.0,"AG, AR, BB, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
https://www.netflix.com/title/70044890,Volver,movie,"Comedy, Drama",2006.0,tt0441909,7.6,108675.0,"AG, AR, BB, BO, BR, BZ, CL, CO, CR, CU, DO, EC, ES, GF, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
https://www.netflix.com/title/70018715,Syriana,movie,"Drama, Thriller",2005.0,tt0365737,6.9,135377.0,"BE, SG"
https://www.netflix.com/title/994992,Stand by Me,movie,"Adventure, Comedy, Drama",1986.0,tt0092005,8.1,452100.0,"AE, AG, AR, AZ, BB, BM, BO, BR, BS, BY, BZ, CA, CH, CL, CO, CR, CU, CY, DO, EC, FJ, GB, GF, GG, GI, GR, GT, HK, HN, ID, IE, IS, IT, JM, LC, MC, MD, MT, MX, MY, NI, PA, PE, PH, PY, SG, SM, SV, TC, TH, TT, TW, UA, US, UY, VE"
,The Godfather,movie,"Crime, Drama",1972.0,tt0068646,9.2,2060807.0,"AD, AE, AG, AL, AO, AR, AT, AU, BA, BB, BE, BG, BH, BO, BR, BZ, CA, CH, CI, CL, CM, CO, CR, CV, CZ, DE, DK, DO, DZ, EC, EG, ES, FI, FJ, FR, GF, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
https://www.netflix.com/title/60011663,The Godfather Part II,movie,"Crime, Drama",1974.0,tt0071562,9.0,1392354.0,"AO, CI, CM, CV, GH, GQ, KE, MG, ML, MU, MZ, NE, NG, SC, SN, TZ, UG, ZA, ZM, ZW"
https://www.netflix.com/title/70021664,King Kong,movie,"Action, Adventure, Romance",2005.0,tt0360717,7.2,453165.0,DE
https://www.netflix.com/title/60000667,Live Flesh,movie,Drama,1997.0,tt0118819,7.3,34206.0,"AG, AR, BB, BO, BR, BZ, CL, CO, CR, CU, DO, EC, ES, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
https://www.netflix.com/title/70021642,Batman Begins,movie,"Action, Crime, Drama",2005.0,tt0372784,8.2,1609640.0,"AD, AT, AU, BA, BG, CA, CH, CZ, DE, DK, ES, FI, FJ, HK, HR, HU, ID, IN, KR, LI, LU, MD, ME, MK, MY, NO, NZ, PH, PK, PL, PT, RO, RS, SE, SG, SI, SK, TH, TW"
